question,context,answer
Display the status of the Virtual Chassis members in the linecard role after the last NSSU,show chassis nonstop-upgrade,"Use the following command in the operational mode:
show chassis nonstop-upgrade"
Show the redundant power system information,show chassis redundant-power-system,"Use the following command in the operatonal mode:
show chassis redundant-power-system"
Display informaion of the RPS connected to the switch,show chassis redundant-power-system,"Use the following command in the operatonal mode:
show chassis redundant-power-system"
Show the Redundant Power System (RBS) information,show chassis redundant-power-system,"Use the following command in the operatonal mode:
show chassis redundant-power-system"
Show LCD display content,show chassis lcd,"Use the following command in the operatonal mode:
show chassis lcd"
Display the information that appears on the LCD panel,show chassis lcd,"Use the following command in the operatonal mode:
show chassis lcd"
Show LCD active menu items,show chassis lcd menu,"Use the following command in the operatonal mode:
show chassis lcd menu"
Show LCD display for FPC slot number 1,show chassis lcd fpc-slot <fpc-slot-number>,"Use the following command in the operatonal mode:
show chassis lcd fpc-slot 1"
Show LCD display for FPC slot number 0,show chassis lcd fpc-slot <fpc-slot-number>,"Use the following command in the operatonal mode:
show chassis lcd fpc-slot 0"
Display the information that appears on the LCD panel for the FPC slot 0 ,show chassis lcd fpc-slot <fpc-slot-number>,"Use the following command in the operatonal mode:
show chassis lcd fpc-slot 0"
how to Show the LCD display for specific FPC slot number,show chassis lcd fpc-slot <fpc-slot-number>,"Use the following command in the operatonal mode:
show chassis lcd fpc-slot <fpc-slot-number>"
Display lcd menu options local virtual chassis member, show chassis lcd menu local,"Use the following command in the operatonal mode:
show chassis lcd menu local"
Display lcd menu options all virtual chassis members,show chassis lcd menu all-members,"Use the following command in the operatonal mode:
show chassis lcd menu all-members"
Show LED status,show chassis led," Use the following command in the operatonal mode:
show chassis led"
How to display the LED status,show chassis led,"Use the following command in the operatonal mode:
show chassis led"
Display the status and colors of the chassis LEDs on the front panel of the switch,show chassis led,"Use the following command in the operatonal mode:
show chassis led"
Remove all configuration information on the Routing Engines and reset all key values on the device on the switch,request system zeroize,"Use the following command in the operatonal mode:
request system zeroize"
"Erase all data on the switch, including configuration and log files",request system zeroize,"Use the following command in the operatonal mode:
request system zeroize"
remove all data files and user-created files and sets the switch to the factory default configuration,request system zeroize,"Use the following command in the operatonal mode:
request system zeroize"
load the factory default configuration,load factory-default,"Use the following command in the configuration mode:
load factory-default
commit"
Override existing configuration with factory default,load factory-default,"Use the following command in the configuration mode:
load factory-default
commit"
Restore the default factory configuration,load factory-default,"Use the following command in the configuration mode:
load factory-default
commit"
show all the configuration set for interface ge-0/0/3,show | display set | match <interface-name>,"Use the following command from the configuration mode:
show | display set | match ge-0/0/3"
show all the configuration set for interface ge-0/0/13,show | display set | match <interface-name>,"Use the following command from the configuration mode:
show | display set | match ge-0/0/13"
show all the configuration set for interface ge-1/0/23 from the operational mode,show configuration interfaces <interface-name>,"Use the following command in the operatonal mode:
show configuration interfaces ge-1/0/23"
How to show  the configuration set for a specific interface,show configuration interfaces <interface-name>,"Use the following command in the operatonal mode:
show configuration interfaces <interface-name>"
How to show all the configuration set for a specific interface,show | display set | match <interface-name>,"Use the following command from the configuration mode:
show | display set | match <interface-name>"
Halt the system,request system halt,"Use the following command in the operatonal mode:
request system halt"
How to halt the EX3300 switch,request system halt,"Use the following command in the operatonal mode:
request system halt"
stop the switch software immediately,request system halt,"Use the following command in the operatonal mode:
request system halt"
Reboot the switch,request system reboot,"Use the following command in the operatonal mode:
request system reboot"
reboot the device software,request system reboot,"Use the following command in the operatonal mode:
request system reboot"
Reboot all virtual chassis members,request system reboot all-members ,"Use the following command in the operatonal mode:
request system reboot all-members "
upgrade the switch using the package /var/tmp/jinstall-ex-3300-12.3R12-S12-domestic-signed.tgz,request system software add <package-name>,"Use the following command in the operatonal mode:
request system software add /var/tmp/jinstall-ex-3300-12.3R12-S12-domestic-signed.tgz"
Install the following package /var/tmp/jinstall-ex-3300-12.3R12-S12-domestic-signed.tgz on the EX3300 switch,request system software add <package-name>,"Use the following command in the operatonal mode:
request system software add /var/tmp/jinstall-ex-3300-12.3R12-S12-domestic-signed.tgz"
Update the switch software image using  /var/tmp/jinstall-ex-3300-12.3R6-S6-domestic-signed.tgz,request system software add <package-name>,"Use the following command in the operatonal mode:
request system software add /var/tmp/jinstall-ex-3300-12.3R12-S12-domestic-signed.tgz"
How to upgrade the software image of the switch,request system software add <package-name>,"Use the following command in the operatonal mode:
request system software add <package-name>"
Forcibly end the user alaa CLI login session,request system logout user <user-name>,"Use the following command in the operatonal mode:
request system logout user alaa"
End the user ali CLI login session,request system logout user <user-name>,"Use the following command in the operatonal mode:
request system logout user ali"
Log out all sessions owned by user sami,request system logout user <user-name> all,"Use the following command in the operatonal mode:
request system logout user sami all"
Log out all sessions owned by user ahmad,request system logout user <user-name> all,"Use the following command in the operatonal mode:
request system logout user ahmad all"
dipslay the users who are currently logged in to the switch,show system users,"Use the following command in the operatonal mode:
show system users"
Show users who are currently logged in,show system users,"Use the following command in the operatonal mode:
show system users"
who are the users currently logged in,show system users,"Use the following command in the operatonal mode:
show system users"
how to check who is currently logged in to the switch,show system users,"Use the following command in the operatonal mode:
show system users"
display the usernames locked after unsuccessful login attempts,show system login lockout,"Use the following command in the operatonal mode:
show system login lockout"
Show user accounts who are not permitted to login,show system login lockout,"Use the following command in the operatonal mode:
show system login lockout"
Show locked user accounts due to unsuccessful login attempts ,show system login lockout,"Use the following command in the operatonal mode:
show system login lockout"
which users are currently locked out,show system login lockout,"Use the following command in the operatonal mode:
show system login lockout"
Clear login locks on all user acounts,clear system login lockout all,"Use the following command in the operatonal mode:
clear system login lockout all"
permit lockedout users to login,clear system login lockout all,"Use the following command in the operatonal mode:
clear system login lockout all"
clear login locks on user test,clear system login lockout user <user-name>,"Use the following command in the operatonal mode:
clear system login lockout user test"
clear login locks on user mohammed,clear system login lockout user <user-name>,"Use the following command in the operatonal mode:
clear system login lockout user mohammed"
Display the usage of Junos OS kernel memory,show system virtual-memory,"Use the following command in the operational mode:
show system virtual-memory"
Display kernel dynamic memory usage information for the local Virtual Chassis member,show system virtual-memory local,"Use the following command in the operational mode:
show system virtual-memory local"
Show time since system and processes started,show system uptime,"Use the following command in the operational mode:
show system uptime"
"Display the current time and information about how long the switch, switch software, and routing protocols have been running.",show system uptime,"Use the following command in the operational mode:
show system uptime"
"Display information about how long the switch, switch software, and routing protocols have been running.",show system uptime,"Use the following command in the operational mode:
show system uptime"
how to find when the system booted,show system uptime,"Use the following command in the operational mode:
show system uptime"
display automatic snapshot status information.,show system auto-snapshot,"Use the following command in the operational mode:
show system auto-snapshot"
show auto-snapshot status information,show system auto-snapshot,"Use the following command in the operational mode:
show system auto-snapshot"
display initial messages generated by the system kernel upon startup.,show system boot-messages,"Use the following command in the operational mode:
show system boot-messages"
Show boot time messages.,show system boot-messages,"Use the following command in the operational mode:
show system boot-messages"
Show messages displayed during the booting,show system boot-messages,"Use the following command in the operational mode:
show system boot-messages"
Configure the commit command to automatically perform a commit synchronize action between dual Routing Engines within the same chassis,set system commit synchronize,"Use the following command in the configuration mode:
set system commit synchronize
 commit"
Allow synchronization between routing engines on the same chassis on commit,set system commit synchronize,"Use the following command in the configuration mode:
set system commit synchronize
 commit"
Enable routing engines synchronization on the virtual chassis on commit,set system commit synchronize,"Use the following command in the configuration mode:
set system commit synchronize
 commit"
Synchronize commit on both Routing Engines,commit synchronize,"Use the following command in the configuration mode:
commit synchronize"
commit the configuration changes to both routing engines,commit synchronize,"Use the following command in the configuration mode:
commit synchronize"
Delete login information of user mohammed,delete system login user <user-name>,"Use the following command in the configuration mode:
delete system login user mohammed
 commit"
How to delete login information of a specific user,delete system login user <user-name>,"Use the following command in the configuration mode:
delete system login user <user-name>
commit"
delete user ahmad account,delete system login user <user-name>,"Use the following command in the configuration mode:
delete system login user ahmad
commit"
"set system login message to ""AUTHERIZED PERSONNEL ONLY CAN ACCESS THE SYSTEM, IF YOU ARE NOT AUTHERIZED PLEASE DISCCONECT IMMEDIALTY""","set system login message <""login-message"">","Use the following command in the configuration mode:
set system login message ""AUTHERIZED PERSONNEL ONLY CAN ACCESS THE SYSTEM, IF YOU ARE NOT AUTHERISED PLEASE DISCCONECT IMMEDIALTY""
commit"
set system login message to RESTRICTED ACCESS,"set system login message <""login-message"">","Use the following command in the configuration mode:
set system login message ""RESTRICTED ACCESS""
commit"
how to set the system login messages,"set system login message <""login-message"">","Use the following command in the configuration mode:
set system login message <""login-message"">
commit"
delete system login message,delete system login message,"Use the following command in the configuration mode:
delete system login message
commit"
remove the system login message,delete system login message,"Use the following command in the configuration mode:
delete system login message
commit"
make the interface range DIV-RANGE member of vlan DATA ,set interfaces interface-range <range-name> unit <unit-number> family ethernet-switching vlan members <valn-name-or-id>,"Use the following command in the configuration mode:
set interfaces interface-range DIV-RANGE unit 0 family ethernet-switching vlan members DATA
commit"
how to make an interface range a member of a vlan,set interfaces interface-range <range-name> unit <unit-number> family ethernet-switching vlan members <valn-name-or-id>,"Use the following command in the configuration mode:
set interfaces interface-range <range-name> unit <unit-number> family ethernet-switching vlan members <valn-name-or-id>
commit"
how to assign an interface range to a specific vlan,set interfaces interface-range <range-name> unit <unit-number> family ethernet-switching vlan members <valn-name-or-id>,"Use the following command in the configuration mode:
set interfaces interface-range <range-name> unit <unit-number> family ethernet-switching vlan members <valn-name-or-id>
commit"
Assign the interface range WIRELESS-RANGE member of vlan 150 ,set interfaces interface-range <range-name> unit <unit-number> family ethernet-switching vlan members <valn-name-or-id>,"Use the following command in the configuration mode:
set interfaces interface-range WIRELESS-RANGE unit 0 family ethernet-switching vlan members 150
commit"
Define an interface range named DATA-RANGE that consists of the interfaces ge-0/0/0 to ge-0/0/25,set interfaces interface-range <range-name> member-range <interface-name> to <interface-name>,"Use the following command in the configuration mode:
set interfaces interface-range DATA-RANGE member-range ge-0/0/0 to ge-0/0/25
commit"
how to create an interface range,set interfaces interface-range <range-name> member-range <interface-name> to <interface-name>,"Use the following command in the configuration mode:
set interfaces interface-range <range-name> member-range <interface-name> to <interface-name>
commit"
Define an interface range named FIN-RANGE that consists of the following interfaces ge-0/0/0 to ge-0/0/15 and ge-1/0/1,set interfaces interface-range <range-name> member-range <interface-name> to <interface-name>,"Use the following command in the configuration mode:
set interfaces interface-range FIN-RANGE member-range ge-0/0/0 to ge-0/0/15
set interfaces interface-range FIN-RANGE member ge-1/0/1
commit"
Define an interface range named DATA-RANGE that consists of the following interfaces ge-0/0/0 to ge-0/0/25 and set the port mode of the range to access,"set interfaces interface-range <range-name> member-range <interface-name> to <interface-name>
set interfaces interface-range <range-name> unit <unit-number> family ethernet-switching port-mode access","Use the following command in the configuration mode:
set interfaces interface-range DATA-RANGE member-range ge-0/0/0 to ge-0/0/25
set interfaces interface-range DATA-RANGE unit 0 family ethernet-switching port-mode access
commit"
Delete the interface range named DATA-RANGE,delete interfaces interface-range <range-name>,"Use the following command in the configuration mode:
delete interfaces interface-range DATA-RANGE
commit"
how to delete an interface range,delete interfaces interface-range <range-name>,"Use the following command in the configuration mode:
delete interfaces interface-range <range-name>
commit"
Delete the interface range named CAM-RANGE,delete interfaces interface-range <range-name>,"Use the following command in the configuration mode:
delete interfaces interface-range CAM-RANGE
commit"
Disable DHCP snooping on CAM vlan ,set ethernet-switching-options secure-access-port vlan <vlan-name-or-id> no-examine-dhcp,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan CAM no-examine-dhcp
commit"
how to disable DHCP snooping on a vlan ,set ethernet-switching-options secure-access-port vlan <vlan-name-or-id> no-examine-dhcp,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan <vlan-name-or-id> no-examine-dhcp
commit"
Configure storm control on all interfaces,set ethernet-switching-options storm-control interface all,"Use the following command in the configuration mode:
set ethernet-switching-options storm-control interface all
commit"
set the storm-control bandwidth of interface xe-0/0/2 to 5000000,set ethernet-switching-options storm-control interface <interface-name> bandwidth <storm-control-bandwidth>,"Use the following command in the configuration mode:
set ethernet-switching-options storm-control interface xe-0/0/2 bandwidth 5000000
commit"
how to set the storm-control bandwidth of an interface,set ethernet-switching-options storm-control interface <interface-name> bandwidth <storm-control-bandwidth>,"Use the following command in the configuration mode:
set ethernet-switching-options storm-control interface <interface-name> bandwidth <storm-control-bandwidth>
commit"
delete storm control feature on all interfaces,delete ethernet-switching-options storm-control interface all,"Use the following command in the configuration mode:
delete ethernet-switching-options storm-control interface all
commit"
Enable ARP inspection feature on all VLANs,set ethernet-switching-options secure-access-port vlan all arp-inspection,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan all arp-inspection
commit"
set the ARP inspection feature for all VLANs,set ethernet-switching-options secure-access-port vlan all arp-inspection,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan all arp-inspection
commit"
Enable ARP inspection feature on VLAN 10,set ethernet-switching-options secure-access-port vlan <vlan-name-or-id> arp-inspection,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan 10 arp-inspection
commit"
how to enable ARP inspection feature on a VLAN,set ethernet-switching-options secure-access-port vlan <vlan-name-or-id> arp-inspection,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan <vlan-name-or-id> arp-inspection
commit"
Enable ARP inspection feature on VLAN REG,set ethernet-switching-options secure-access-port vlan <vlan-name-or-id> arp-inspection,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan REG arp-inspection
commit"
delete ARP inspection feature on all VLANs,delete ethernet-switching-options secure-access-port vlan all arp-inspection,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port vlan all arp-inspection
commit"
disable ARP inspection feature on all VLANs,delete ethernet-switching-options secure-access-port vlan all arp-inspection,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port vlan all arp-inspection
commit"
disable ARP inspection feature on VLAN TEST,delete ethernet-switching-options secure-access-port vlan <vlan-id-or-name> arp-inspection,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port vlan TEST arp-inspection
commit"
disable ARP inspection feature on VLAN cam,delete ethernet-switching-options secure-access-port vlan <vlan-id-or-name> arp-inspection,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port vlan cam arp-inspection
commit"
how to disable ARP inspection feature on a VLAN,delete ethernet-switching-options secure-access-port vlan <vlan-id-or-name> arp-inspection,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port vlan <vlan-id-or-name> arp-inspection
commit"
how to power off the ex3300 switch,request system power-off,"Use the following command in the operational mode:
request system power-off"
power off the switch,request system power-off,"Use the following command in the operational mode:
request system power-off"
How to power off the routing engine,request system power-off,"Use the following command in the operational mode:
request system power-off"
How to power off all chassis members,request system power-off all-members,"Use the following command in the operational mode:
request system power-off all-members"
How to power off all chassis members in 30 mintues,request system power-off in <minutes> all-members,"Use the following command in the operational mode:
request system power-off in 30 all-members"
How to schedule a power off all chassis members,request system power-off in <minutes> all-members,"Use the following command in the operational mode:
request system power-off in <minutes> all-members"
How to schedule a power off,request system power-off in <minutes>,"Use the following command in the operational mode:
request system power-off in <minutes>"
"Power off all chassis members in 20 mintues and show the following message ""This switch will be powered off in 20 minutes. Please save your data and log out immediately""",request system power-off in <minutes> message <message> all-members,"Use the following command in the operational mode:
request system power-off in 20 message ""This switch will be powered off in 20 minutes. Please save your data and log out immediately"" all-members"
set the sflow collector IP to 10.200.1.201 and use udp port 5800,set protocols sflow collector <collector-IP> udp-port <udp-port>,"Use the following command in the configuration mode:
set protocols sflow collector 10.200.1.201 udp-port 5800
commit"
set the sflow collector IP to 10.20.11.21 and use udp port 5800,set protocols sflow collector <collector-IP> udp-port <udp-port>,"Use the following command in the configuration mode:
set protocols sflow collector 10.20.11.21 udp-port 5800
commit"
how to set the sflow collector IP address and port number,set protocols sflow collector <collector-IP> udp-port <udp-port>,"Use the following command in the configuration mode:
set protocols sflow collector <collector-IP> udp-port <udp-port>
commit"
set the sflow ingress sampling rate to 1000,set protocols sflow sample-rate ingress <rate>,"Use the following command in the configuration mode:
set protocols sflow sample-rate ingress 1000
commit"
set the sflow ingress sampling rate to 1100,set protocols sflow sample-rate ingress <rate>,"Use the following command in the configuration mode:
set protocols sflow sample-rate ingress 1100
commit"
how to set the sflow ingress sampling rate,set protocols sflow sample-rate ingress <rate>,"Use the following command in the configuration mode:
set protocols sflow sample-rate ingress <rate>
commit"
set the sflow egress sampling rate to 1100,set protocols sflow sample-rate egress <rate>,"Use the following command in the configuration mode:
set protocols sflow sample-rate egress 1100
commit"
set the sflow egress sampling rate to 1000,set protocols sflow sample-rate egress <rate>,"Use the following command in the configuration mode:
set protocols sflow sample-rate egress 1000
commit"
how to set the sflow egress sampling rate,set protocols sflow sample-rate egress <rate>,"Use the following command in the configuration mode:
set protocols sflow sample-rate egress <rate>
commit"
set the source IP address to be used for the sFlow datagrams to 10.100.1.12,set protocols sflow source-ip <ip-address>,"Use the following command in the configuration mode:
set protocols sflow source-ip 10.100.1.12
commit"
Configure the source IP address to be used for the sFlow datagrams to the IP 10.100.100.15,set protocols sflow source-ip <ip-address>,"Use the following command in the configuration mode:
set protocols sflow source-ip 10.100.100.15
commit"
how to configure the source IP address used for the sFlow datagrams,set protocols sflow source-ip <ip-address>,"Use the following command in the configuration mode:
set protocols sflow source-ip <ip-address>
commit"
set the sflow polling interval to 60,set protocols sflow polling-interval <interval>,"Use the following command in the configuration mode:
set protocols sflow polling-interval 60
commit"
how to configure the sflow polling interval,set protocols sflow polling-interval <interval>,"Use the following command in the configuration mode:
set protocols sflow polling-interval <interval>
commit"
set the sflow polling interval to 30,set protocols sflow polling-interval <interval>,"Use the following command in the configuration mode:
set protocols sflow polling-interval 30
commit"
Enable sFlow protocol on interface ge-0/0/0,set protocols sflow interfaces <interface-name>,"Use the following command in the configuration mode:
set protocols sflow interfaces ge-0/0/0
commit"
how to enable sFlow protocol on an interface,set protocols sflow interfaces <interface-name>,"Use the following command in the configuration mode:
set protocols sflow interfaces <interface-name>
commit"
Enable sFlow protocol on interface ge-0/0/8,set protocols sflow interfaces <interface-name>,"Use the following command in the configuration mode:
set protocols sflow interfaces ge-0/0/8
commit"
disable sFlow protocol on interface ge-0/0/8,delete protocols sflow interfaces <interface-name>,"Use the following command in the configuration mode:
delete protocols sflow interfaces ge-0/0/8
commit"
disable sFlow protocol on interface ge-0/0/18,delete protocols sflow interfaces <interface-name>,"Use the following command in the configuration mode:
delete protocols sflow interfaces ge-0/0/18
commit"
how to disable sFlow protocol on an interface,delete protocols sflow interfaces <interface-name>,"Use the following command in the configuration mode:
delete protocols sflow interfaces <interface-name>
commit"
delete sFlow protocol configuration on interface ge-1/0/2,delete protocols sflow interfaces <interface-name>,"Use the following command in the configuration mode:
delete protocols sflow interfaces ge-1/0/2
commit"
Enable sFlow protocol on interface ge-0/0/8 and ge-1/0/1,set protocols sflow interfaces <interface-name>,"Use the following command in the configuration mode:
set protocols sflow interfaces ge-0/0/8
set protocols sflow interfaces ge-1/0/1
commit"
disable sflow protocol,delete protocols sflow,"Use the following command in the configuration mode:
delete protocols sflow
commit"
disable network monitoring using sflow protocol,delete protocols sflow,"Use the following command in the configuration mode:
delete protocols sflow
commit"
delete all sflow protocol configurations,delete protocols sflow,"Use the following command in the configuration mode:
delete protocols sflow
commit"
show sflow configurations in the set format from the configuration mode,show | display set | match sflow,"Use the following command in the configuration mode:
 show | display set | match sflow"
show sflow configurations in the set format from the operational mode,show configuration protocols sflow | display set,"Use the following command in the operational mode:
 show configuration protocols sflow | display set"
show sflow configurations from the operational mode,show configuration protocols sflow,"Use the following command in the operational mode:
 show configuration protocols sflow"
How to verify the status of sFlow,show sflow,"Use the following command in the operational mode:
show sflow"
display the status of sFlow,show sflow,"Use the following command in the operational mode:
show sflow"
On which interfaces sflow is enabled,show sflow interface,"Use the following command in the operational mode:
show sflow interface"
Display the interfaces on which sFlow is enabled and the sampling parameters for all interfaces,show sflow interface,"Use the following command in the operational mode:
show sflow interface"
"how to add the comment""deleted commit synchronize"" to the commit command","commit comment <""string-comment"">","Use the following command in the configuration mode:
commit comment ""deleted commit synchronize"""
how to add a comment to the commit command,"commit comment <""string-comment"">","Use the following command in the configuration mode:
commit comment <""string-comment"">"
How to change the host name from MAIN_SW to FIN_SW,replace pattern <pattern_regular_expression> with <new_value>,"Use the following command in the configuration mode:
replace pattern MAIN_SW with FIN_SW
commit"
rename the host name from MAIN_SW to FIN_SW,replace pattern <pattern_regular_expression> with <new_value>,"Use the following command in the configuration mode:
replace pattern MAIN_SW with FIN_SW
commit"
Change the IP 10.200.1.1 to 10.200.2.1,replace pattern <pattern_regular_expression> with <new_value>,"Use the following command in the configuration mode:
replace pattern 10.200.1.1 with 10.200.2.1
commit"
How to change the IP 10.200.10.1 to 10.200.2.11,replace pattern <pattern_regular_expression> with <new_value>,"Use the following command in the configuration mode:
replace pattern 10.200.10.1 with 10.200.2.11
commit"
set a mac moving limit of 5 on vlan 10 and generate a systme log entry whenever the limit is reached ,set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit <limit> action log,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan 10 mac-move-limit 5 action log
commit"
set a mac moving limit of 3 on vlan 20,set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit <limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan 20 mac-move-limit 3
commit"
set a mac moving limit of 2 on vlan HR ,set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit <limit>,"Use the following command in the configuration  mode:
set ethernet-switching-options secure-access-port vlan HR mac-move-limit 2
commit"
how to configure a mac moving limit on a vlan,set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit <limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit <limit>
commit"
set a mac moving limit of 5 on vlan FIN and shutdown the violating interface ,set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit <limit> action shutdown,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan FIN mac-move-limit 5 action shutdown
commit"
Do not allow a device to change the port it is connected to more than twice a second,set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit <limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan <vlan-name-or-id> mac-move-limit 2
commit"
limit the number of MAC movements that can be made by individual MAC addresses within all VLANs to 2,set ethernet-switching-options secure-access-port vlan all mac-move-limit <limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan all mac-move-limit 2 
commit"
limit the number of MAC movements that can be made by individual MAC addresses within VLAN FIN to 1,set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit <limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan FIN mac-move-limit 1 
commit"
Do not allow mac movements in VLAN 10,set ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit 1,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port vlan 10 mac-move-limit 1 
commit"
Delete mac-move-limit on VLAN 40,delete ethernet-switching-options secure-access-port vlan <vlan-id-or-name> mac-move-limit,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port vlan 40 mac-move-limit
commit"
"Allow each interface on the EX3300 switch to connect to one device only, and shutdown the interface if a violation occur",set ethernet-switching-options secure-access-port interface all mac-limit <limit> action shutdown,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface all mac-limit 1 action shutdown
commit"
how to set up a mac limit on an interface and shutdown the interface in case of a violation,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <limit> action shutdown,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <limit> action shutdown
commit"
"Allow interface ge-0/0/10 on the EX3300 switch to connect to one device only, and shutdown the interface if a violation occur",set ethernet-switching-options secure-access-port interface ge-0/0/10 mac-limit <limit> action shutdown,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/10 mac-limit 1 action shutdown
commit"
set a mac limit of 1 on interface ge-0/0/11 and shutdown the interface if a violation occur,set ethernet-switching-options secure-access-port interface ge-0/0/11 mac-limit <limit> action shutdown,"Use the following command in the configuration  mode:
set ethernet-switching-options secure-access-port interface ge-0/0/11 mac-limit 1 action shutdown
commit"
set a mac limit of 1 on all interfaces and shutdown the interface if a violation occur,set ethernet-switching-options secure-access-port interface all mac-limit <limit> action shutdown,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface all mac-limit 1 action shutdown
commit"
set a mac limit of 2 on all interfaces and drop the packets received at the interface if a violation occur,set ethernet-switching-options secure-access-port interface all mac-limit <limit> action drop,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface all mac-limit 2 action drop
commit"
how to set a mac limit on an interface and drop the packets received at the interface if a violation occur,set ethernet-switching-options secure-access-port interface all mac-limit <limit> action drop,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface all mac-limit <limit> action drop
commit"
set a mac limit of 3 on interface ge-0/0/13 and drop the packets received at the interface if a violation occur,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <limit> action drop,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/13 mac-limit 3 action drop
commit"
put a mac limit of 4 on interface ge-0/0/15 and set the action to log,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <limit> action log,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/15 mac-limit 4 action log
commit"
how to set a mac limit on an interface and set the action to log on violations,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <limit> action log,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <limit> action log
commit"
put a mac limit of 1 on interface ge-0/0/15 and log the event when the mac limit is exceeded,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <limit> action log,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/15 mac-limit 1 action log
commit"
limit the number of mac addresses that can be learned on interface ge-1/0/5 to 2 ,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <limit> action none,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-1/0/5 mac-limit 2 action none
commit"
enable sticky mac on interface ge-0/0/10 ,set ethernet-switching-options secure-access-port interface <interface-name> persistent-learning,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/10 persistent-learning
commit"
enable persistent mac learning on interface ge-0/0/9 ,set ethernet-switching-options secure-access-port interface <interface-name> persistent-learning,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/9 persistent-learning
commit"
delete the  persistent mac learning on interface ge-0/0/9 ,delete ethernet-switching-options secure-access-port interface <interface-name> persistent-learning,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port interface ge-0/0/9 persistent-learning
commit"
remove the  persistent mac learning on interface ge-0/0/19 ,delete ethernet-switching-options secure-access-port interface <interface-name> persistent-learning,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port interface ge-0/0/19 persistent-learning
commit"
Allow interface ge-2/0/1 to keep the learned MAC address even after the switche restarts,set ethernet-switching-options secure-access-port interface <interface-name> persistent-learning,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-2/0/1 persistent-learning
commit"
how to set an interfacevto keep the learned MAC address even after the switche restarts,set ethernet-switching-options secure-access-port interface <interface-name> persistent-learning,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface <interface-name> persistent-learning
commit"
Enable persistent mac learning on interface ge-0/0/0,set ethernet-switching-options secure-access-port interface <interface-name> persistent-learning,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/0 persistent-learning
commit"
