business name,business type,business arrival time ,business end time,business duration,business load volume,names of devices passed by the business,network resources consumed by each device,network functions required for business transmission,various performance requirements of the business
online transactions,network service,2023070713,2023072103,1172580000,1542,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 21.4ms
video conferencing,communication service,2022040614,2022041320,628633000,1935,"Wireless network, transmission network, core network, application server",0.0003%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 88.0ms, Packet Loss Rate < 0.89%"
gaming,digital content provision,2022010117,2022010716,514322000,1178,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 880Mbps, Packet Loss Rate < 0.32%"
VoIP,communication service,2022011802,2022012509,630736000,898,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 20.0ms
online transactions,network service,2022051601,2022051605,17468000,2092,"Wireless network, transmission network, core network, application server",0.0083%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 52.4ms, Latency < 35.2ms, Packet Loss Rate < 0.63%"
VR/AR,network service,2023031617,2023031710,61639000,1533,"Wireless network, transmission network, core network, application server",0.0052%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 13.4ms
online transactions,network service,2023031721,2023040104,1233782000,835,"Wireless network, transmission network, core network, application server",0.0183%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.90%, Latency < 11.6ms, Jitter < 24.1ms"
digital publishing,digital content provision,2023021609,2023021816,200622000,7032,"Wireless network, transmission network, core network, application server",0.1535%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 24.0ms, Bandwidth > 340Mbps"
VR/AR,network service,2021121520,2021121612,60843000,4525,"Wireless network, transmission network, core network, application server",0.1193%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 91.7ms, Bandwidth > 740Mbps, Packet Loss Rate < 0.98%"
VR/AR,network service,2022072119,2022072422,270425000,4545,"Wireless network, transmission network, core network, application server",0.1436%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 6.5ms, Latency < 13.1ms"
gaming,digital content provision,2023092620,2023100501,708370000,32558,"Wireless network, transmission network, core network, application server",0.0088%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 3.1ms
VR/AR,network service,2023082913,2023090402,479652000,2682,"Wireless network, transmission network, core network, application server",0.0105%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 8.4ms, Bandwidth > 680Mbps"
VoIP,communication service,2023022005,2023022301,244797000,19923,"Wireless network, transmission network, core network, application server",0.0052%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.09%, Jitter < 92.9ms"
email,communication service,2022052417,2022053102,550747000,24719,"Wireless network, transmission network, core network, application server",0.0124%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.41%
gaming,digital content provision,2023072003,2023072113,122418000,1577,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 420Mbps, Jitter < 79.9ms, Latency < 1.1ms"
Internet Relay Chat (IRC),communication service,2021121900,2021122402,440018000,2190,"Wireless network, transmission network, core network, application server",0.0003%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 220Mbps, Jitter < 34.7ms, Latency < 42.7ms"
video conferencing,communication service,2023112506,2023112507,1913000,880,"Wireless network, transmission network, core network, application server",0.0036%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 820Mbps, Packet Loss Rate < 0.45%, Jitter < 81.7ms"
email,communication service,2022122610,2023010523,911310000,605,"Wireless network, transmission network, core network, application server",0.0008%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 52.2ms, Bandwidth > 90Mbps"
digital publishing,digital content provision,2022051416,2022052018,527587000,605,"Wireless network, transmission network, core network, application server",0.0008%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.04%
web browsing,network service,2023030419,2023031421,870865000,1477,"Wireless network, transmission network, core network, application server",0.0036%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 98.6ms
VR/AR,network service,2022012302,2022020306,965199000,425,"Wireless network, transmission network, core network, application server",0.0349%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 180Mbps, Latency < 35.4ms"
online education,online service,2023120523,2023121500,779009000,2843,"Wireless network, transmission network, core network, application server",0.1033%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 36.1ms, Bandwidth > 80Mbps, Packet Loss Rate < 0.99%"
web browsing,network service,2022051201,2022051207,20758000,1661,"Wireless network, transmission network, core network, application server",0.0650%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.73%, Jitter < 46.9ms"
video conferencing,communication service,2023120318,2023121617,1119322000,1656,"Wireless network, transmission network, core network, application server",0.0562%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 31.4ms
digital publishing,digital content provision,2022092308,2022092619,300838000,1674,"Wireless network, transmission network, core network, application server",0.0568%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.86%
email,communication service,2022052616,2022060900,1152080000,1557,"Wireless network, transmission network, core network, application server",0.0528%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 92.4ms
gaming,digital content provision,2022081512,2022082403,745805000,1241,"Wireless network, transmission network, core network, application server",0.0071%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 76.4ms, Latency < 3.4ms"
gaming,digital content provision,2023102601,2023110203,611723000,1241,"Wireless network, transmission network, core network, application server",0.0103%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.27%, Bandwidth > 630Mbps, Jitter < 85.0ms"
digital publishing,digital content provision,2023082122,2023082915,667079000,1241,"Wireless network, transmission network, core network, application server",0.0204%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 12.9ms, Bandwidth > 350Mbps"
web browsing,network service,2023032706,2023040920,1173242000,1617,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 80Mbps
cloud computing services,online service,2022081710,2022082402,576685000,1004,"Wireless network, transmission network, core network, application server",0.0262%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 75.4ms, Bandwidth > 450Mbps, Packet Loss Rate < 0.27%"
gaming,digital content provision,2023071718,2023072010,232828000,1301,"Wireless network, transmission network, core network, application server",0.0086%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 65.2ms, Bandwidth > 290Mbps"
streaming media service,online service,2023010609,2023010620,41093000,1301,"Wireless network, transmission network, core network, application server",0.0140%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 43.7ms, Packet Loss Rate < 0.22%"
VR/AR,network service,2023070815,2023071216,350357000,1301,"Wireless network, transmission network, core network, application server",0.0062%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 550Mbps
gaming,digital content provision,2023092004,2023092507,442913000,458,"Wireless network, transmission network, core network, application server",0.0136%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 24.4ms
e-commerce,network service,2022081415,2022081816,349309000,1554,"Wireless network, transmission network, core network, application server",0.0048%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 42.1ms, Bandwidth > 390Mbps, Packet Loss Rate < 0.91%"
streaming media service,online service,2023120506,2023121616,985495000,2979,"Wireless network, transmission network, core network, application server",0.1263%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 16.5ms, Latency < 7.1ms, Bandwidth > 520Mbps"
email,communication service,2023073107,2023081106,948035000,987,"Wireless network, transmission network, core network, application server",0.0273%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 39.5ms, Packet Loss Rate < 0.25%"
digital publishing,digital content provision,2023022314,2023030523,895856000,1981,"Wireless network, transmission network, core network, application server",0.0444%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.78%, Jitter < 14.6ms"
VoIP,communication service,2023111412,2023111814,353399000,980,"Wireless network, transmission network, core network, application server",0.0272%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 93.7ms
streaming media service,online service,2022032008,2022032309,263511000,708,"Wireless network, transmission network, core network, application server",0.0185%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 33.0ms, Packet Loss Rate < 0.33%, Latency < 36.8ms"
gaming,digital content provision,2023061520,2023062304,633857000,441,"Wireless network, transmission network, core network, application server",0.0107%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 90.3ms, Packet Loss Rate < 0.38%, Bandwidth > 990Mbps"
VR/AR,network service,2022032204,2022032710,453135000,1765,"Wireless network, transmission network, core network, application server",0.0392%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 32.0ms
video conferencing,communication service,2022031603,2022031706,96270000,3301,"Wireless network, transmission network, core network, application server",0.1365%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 41.3ms, Bandwidth > 550Mbps"
gaming,digital content provision,2022122714,2022122803,46390000,1765,"Wireless network, transmission network, core network, application server",0.0438%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 30.1ms, Bandwidth > 800Mbps, Packet Loss Rate < 0.56%"
video conferencing,communication service,2022122708,2022122722,53093000,22472,"Wireless network, transmission network, core network, application server",0.0122%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 730Mbps, Packet Loss Rate < 0.92%, Latency < 3.9ms"
VoIP,communication service,2023062912,2023070821,812688000,440,"Wireless network, transmission network, core network, application server",0.0186%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 64.8ms, Latency < 21.3ms, Bandwidth > 420Mbps"
online transactions,network service,2023080912,2023081101,132939000,1161,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 290Mbps, Latency < 48.2ms"
Internet Relay Chat (IRC),communication service,2023102306,2023102803,422678000,750,"Wireless network, transmission network, core network, application server",0.0315%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.04%, Bandwidth > 840Mbps, Jitter < 55.5ms"
online education,online service,2022080419,2022080500,17040000,635,"Wireless network, transmission network, core network, application server",0.0807%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.94%, Latency < 19.5ms, Bandwidth > 470Mbps"
gaming,digital content provision,2023031812,2023032503,569969000,1649,"Wireless network, transmission network, core network, application server",0.0524%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 19.7ms
online education,online service,2022101404,2022101818,397151000,677,"Wireless network, transmission network, core network, application server",0.0049%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.43%
gaming,digital content provision,2023060815,2023062207,1179289000,1708,"Wireless network, transmission network, core network, application server",0.0330%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 42.1ms
online transactions,network service,2023102007,2023102318,298687000,1513,"Wireless network, transmission network, core network, application server",0.0036%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 830Mbps, Latency < 21.0ms, Jitter < 71.4ms"
Internet Relay Chat (IRC),communication service,2023042311,2023050523,1080846000,440,"Wireless network, transmission network, core network, application server",0.0160%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 41.5ms, Jitter < 56.0ms"
cloud computing services,online service,2022100923,2022102100,951032000,807,"Wireless network, transmission network, core network, application server",0.0021%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.77%
cloud computing services,online service,2022082602,2022090621,1020883000,1337,"Wireless network, transmission network, core network, application server",0.0016%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 730Mbps, Packet Loss Rate < 0.90%, Latency < 28.4ms"
web browsing,network service,2022122215,2023010101,815029000,428,"Wireless network, transmission network, core network, application server",0.0007%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 34.1ms, Jitter < 62.5ms"
cloud computing services,online service,2022090202,2022091212,901129000,513,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 10.0ms, Packet Loss Rate < 0.82%, Bandwidth > 890Mbps"
online education,online service,2022031921,2022033114,1012090000,411,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 93.4ms
cloud computing services,online service,2023062511,2023062712,178889000,515,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.78%, Latency < 40.2ms, Jitter < 28.1ms"
Internet Relay Chat (IRC),communication service,2022051002,2022052500,1289986000,514,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 9.9ms, Bandwidth > 480Mbps, Jitter < 59.3ms"
Internet Relay Chat (IRC),communication service,2022122008,2022122519,470777000,857,"Wireless network, transmission network, core network, application server",0.0003%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 41.0ms
video conferencing,communication service,2022041123,2022041706,455551000,1617,"Wireless network, transmission network, core network, application server",0.0490%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.73%
VoIP,communication service,2022101301,2022101917,576260000,22629,"Wireless network, transmission network, core network, application server",0.1326%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.89%, Latency < 6.7ms"
LISTSERV,communication service,2023082308,2023082319,39737000,2250,"Wireless network, transmission network, core network, application server",0.0596%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.39%, Bandwidth > 930Mbps"
web browsing,network service,2023121106,2023121618,475369000,2917,"Wireless network, transmission network, core network, application server",0.0598%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 700Mbps
digital publishing,digital content provision,2022112111,2022120523,1252037000,1773,"Wireless network, transmission network, core network, application server",0.0434%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 410Mbps, Jitter < 36.4ms"
gaming,digital content provision,2022122112,2023010121,985849000,10295,"Wireless network, transmission network, core network, application server",0.0061%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.98%, Latency < 6.3ms, Bandwidth > 660Mbps"
digital publishing,digital content provision,2022060207,2022061512,1140540000,2237,"Wireless network, transmission network, core network, application server",0.0268%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 20.6ms, Jitter < 3.0ms, Packet Loss Rate < 0.52%"
cloud computing services,online service,2023051000,2023051519,499587000,576,"Wireless network, transmission network, core network, application server",0.0128%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 4.9ms, Bandwidth > 910Mbps"
Internet Relay Chat (IRC),communication service,2023061620,2023070119,1291208000,22629,"Wireless network, transmission network, core network, application server",0.1326%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.04%, Bandwidth > 670Mbps"
web browsing,network service,2023021601,2023022211,555826000,1617,"Wireless network, transmission network, core network, application server",0.0490%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 58.4ms
digital publishing,digital content provision,2022020901,2022021109,202924000,2917,"Wireless network, transmission network, core network, application server",0.0598%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 33.1ms
online education,online service,2023053123,2023061220,1028842000,2250,"Wireless network, transmission network, core network, application server",0.0596%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 230Mbps
streaming media service,online service,2023020305,2023021108,701812000,1773,"Wireless network, transmission network, core network, application server",0.0434%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 870Mbps, Packet Loss Rate < 0.44%"
online education,online service,2022012800,2022020704,877683000,740,"Wireless network, transmission network, core network, application server",0.0186%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 790Mbps
streaming media service,online service,2023033012,2023040819,801383000,926,"Wireless network, transmission network, core network, application server",0.0210%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 390Mbps
VoIP,communication service,2022020311,2022021206,760514000,641,"Wireless network, transmission network, core network, application server",0.0291%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 11.4ms, Jitter < 6.2ms"
e-commerce,network service,2022071318,2022072518,1037648000,1387,"Wireless network, transmission network, core network, application server",0.0356%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 940Mbps, Jitter < 8.3ms"
e-commerce,network service,2023082906,2023090802,850856000,815,"Wireless network, transmission network, core network, application server",0.0204%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.94%
streaming media service,online service,2022071907,2022072620,648552000,2223,"Wireless network, transmission network, core network, application server",0.0863%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 820Mbps
online transactions,network service,2022092623,2022100420,677691000,651,"Wireless network, transmission network, core network, application server",0.0228%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.55%
gaming,digital content provision,2022091615,2022092902,1079229000,1626,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 47.1ms
web browsing,network service,2021122610,2022010510,864016000,7640,"Wireless network, transmission network, core network, application server",0.0642%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 980Mbps, Jitter < 95.5ms"
LISTSERV,communication service,2023072406,2023072606,173972000,15965,"Wireless network, transmission network, core network, application server",0.3123%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 95.7ms, Packet Loss Rate < 0.19%"
online education,online service,2022090910,2022091622,649309000,1006,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 36.0ms, Bandwidth > 80Mbps, Jitter < 41.2ms"
VoIP,communication service,2023010820,2023010905,34240000,24792,"Wireless network, transmission network, core network, application server",0.0051%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.89%, Latency < 12.9ms"
digital publishing,digital content provision,2023020111,2023021403,1092136000,724,"Wireless network, transmission network, core network, application server",0.0195%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 790Mbps, Jitter < 39.8ms, Packet Loss Rate < 0.33%"
online education,online service,2022071812,2022073119,1148561000,105948,"Wireless network, transmission network, core network, application server",0.0076%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 400Mbps, Packet Loss Rate < 0.51%, Latency < 41.4ms"
online education,online service,2023052814,2023060205,400209000,1821,"Wireless network, transmission network, core network, application server",0.0060%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 58.3ms, Latency < 24.2ms"
LISTSERV,communication service,2022060109,2022060403,236172000,5436,"Wireless network, transmission network, core network, application server",0.0728%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 1.6ms, Latency < 4.5ms, Bandwidth > 700Mbps"
online transactions,network service,2023030513,2023031308,674782000,557,"Wireless network, transmission network, core network, application server",0.0154%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 22.3ms, Latency < 28.2ms, Packet Loss Rate < 0.37%"
cloud computing services,online service,2023021402,2023022220,752978000,412,"Wireless network, transmission network, core network, application server",0.0116%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 34.8ms, Bandwidth > 380Mbps"
digital publishing,digital content provision,2023021523,2023022202,526257000,580,"Wireless network, transmission network, core network, application server",0.0013%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.22%, Latency < 4.0ms, Jitter < 99.5ms"
streaming media service,online service,2022071913,2022072309,331559000,520,"Wireless network, transmission network, core network, application server",0.0022%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 930Mbps, Packet Loss Rate < 0.16%, Latency < 22.4ms"
streaming media service,online service,2022082715,2022090207,488309000,628,"Wireless network, transmission network, core network, application server",0.0015%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 8.5ms, Jitter < 43.5ms"
e-commerce,network service,2022082907,2022091107,1123326000,655,"Wireless network, transmission network, core network, application server",0.0094%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.09%
streaming media service,online service,2022012216,2022012816,518830000,893,"Wireless network, transmission network, core network, application server",0.0010%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 42.0ms
email,communication service,2022071323,2022072315,833769000,1865,"Wireless network, transmission network, core network, application server",0.0144%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.33%, Jitter < 43.2ms, Bandwidth > 990Mbps"
digital publishing,digital content provision,2023081212,2023081818,541478000,2014,"Wireless network, transmission network, core network, application server",0.0004%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 980Mbps, Jitter < 38.6ms, Packet Loss Rate < 0.38%"
e-commerce,network service,2022062812,2022070321,466189000,1717,"Wireless network, transmission network, core network, application server",0.0443%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 94.6ms, Latency < 49.1ms"
e-commerce,network service,2022122504,2022122619,140811000,677,"Wireless network, transmission network, core network, application server",0.0230%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 20.7ms, Jitter < 1.5ms"
VR/AR,network service,2022071819,2022071923,100170000,2348,"Wireless network, transmission network, core network, application server",0.0746%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.70%
email,communication service,2022123114,2023011505,1262104000,717,"Wireless network, transmission network, core network, application server",0.0181%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 30.9ms
e-commerce,network service,2022010902,2022011703,695877000,953,"Wireless network, transmission network, core network, application server",0.0013%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.07%, Bandwidth > 590Mbps"
web browsing,network service,2023101821,2023101921,88324000,559,"Wireless network, transmission network, core network, application server",0.0203%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 75.2ms, Latency < 7.5ms"
cloud computing services,online service,2022111713,2022111922,204165000,1210,"Wireless network, transmission network, core network, application server",0.0340%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.50%
VR/AR,network service,2022071800,2022073122,1200482000,1555,"Wireless network, transmission network, core network, application server",0.0388%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 18.7ms
digital publishing,digital content provision,2022041605,2022041717,130676000,1517,"Wireless network, transmission network, core network, application server",0.0551%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 140Mbps, Jitter < 82.3ms, Packet Loss Rate < 0.11%"
digital publishing,digital content provision,2022033115,2022040522,458679000,930,"Wireless network, transmission network, core network, application server",0.0038%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 45.0ms, Packet Loss Rate < 0.15%"
LISTSERV,communication service,2023092720,2023101020,1124035000,1293,"Wireless network, transmission network, core network, application server",0.0004%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 94.5ms
digital publishing,digital content provision,2023062719,2023070107,302436000,1241,"Wireless network, transmission network, core network, application server",0.0194%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 4.7ms
VoIP,communication service,2022110812,2022111104,227341000,3272,"Wireless network, transmission network, core network, application server",0.0176%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 530Mbps, Packet Loss Rate < 0.93%"
gaming,digital content provision,2023072707,2023072720,44599000,1100,"Wireless network, transmission network, core network, application server",0.0004%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 31.1ms, Jitter < 47.4ms, Bandwidth > 330Mbps"
online education,online service,2023031512,2023031616,101019000,1534,"Wireless network, transmission network, core network, application server",0.0574%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.35%
cloud computing services,online service,2022081022,2022082312,1088353000,1638,"Wireless network, transmission network, core network, application server",0.0563%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 14.3ms, Latency < 27.6ms, Packet Loss Rate < 0.94%"
online transactions,network service,2023052806,2023060507,695864000,2836,"Wireless network, transmission network, core network, application server",0.0736%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 15.5ms, Jitter < 72.9ms"
online transactions,network service,2023031820,2023032018,167620000,1633,"Wireless network, transmission network, core network, application server",0.0519%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.11%
digital publishing,digital content provision,2022032621,2022041018,1286094000,1655,"Wireless network, transmission network, core network, application server",0.0443%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 18.3ms
VoIP,communication service,2023031719,2023032106,299463000,2104,"Wireless network, transmission network, core network, application server",0.0176%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 900Mbps, Latency < 10.1ms"
digital publishing,digital content provision,2023020913,2023021107,150228000,356,"Wireless network, transmission network, core network, application server",0.0086%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 330Mbps, Latency < 45.9ms, Jitter < 75.0ms"
digital publishing,digital content provision,2022070517,2022070523,22693000,493,"Wireless network, transmission network, core network, application server",0.0143%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 470Mbps
video conferencing,communication service,2022031217,2022032104,730560000,356,"Wireless network, transmission network, core network, application server",0.0101%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.64%, Jitter < 25.8ms, Bandwidth > 740Mbps"
